日付	売上	客数	コメント
2024-11-01	15000	20	11月開始
2024-11-02	15000	20	
2024-11-03	15000	20	
2024-11-04	15000	20	
2024-11-05	16500	28	
2024-11-06	16500	28	
2024-11-07	16500	28	
2024-11-08	16500	28	
2024-11-09	16500	28	
2024-11-10	18000	35	
2024-11-11	18000	35	
2024-11-12	18000	35	
2024-11-13	18000	35	
2024-11-14	18000	35	
2024-11-15	19500	42	
2024-11-16	19500	42	
2024-11-17	19500	42	
2024-11-18	19500	42	
2024-11-19	19500	42	
2024-11-20	21000	48	
2024-11-21	21000	48	
2024-11-22	21000	48	
2024-11-23	21000	48	
2024-11-24	21000	48	
2024-11-25	22500	55	
2024-11-26	22500	55	
2024-11-27	22500	55	
2024-11-28	22500	55	
2024-11-29	22500	55	
2024-11-30	24000	62	11月末
2024-12-01	25000	65	12月開始
2024-12-02	25000	65	
2024-12-03	25000	65	
2024-12-04	25000	65	
2024-12-05	26500	70	
2024-12-06	26500	70	
2024-12-07	26500	70	
2024-12-08	26500	70	
2024-12-09	26500	70	
2024-12-10	28000	75	
2024-12-11	28000	75	
2024-12-12	28000	75	
2024-12-13	28000	75	
2024-12-14	28000	75	
2024-12-15	29500	80	
2024-12-16	29500	80	
2024-12-17	29500	80	
2024-12-18	29500	80	
2024-12-19	29500	80	
2024-12-20	31000	85	年末商戦
2024-12-21	31000	85	
2024-12-22	31000	85	
2024-12-23	31000	85	
2024-12-24	31000	85	
2024-12-25	32000	90	クリスマス
2024-12-26	32000	90	
2024-12-27	32000	90	
2024-12-28	32000	90	
2024-12-29	32000	90	
2024-12-30	33000	95	年末
2024-12-31	34000	100	大晦日
2025-01-01	18000	25	年初
2025-01-02	18000	25	
2025-01-03	18000	25	
2025-01-04	18000	25	
2025-01-05	19500	32	
2025-01-06	19500	32	
2025-01-07	19500	32	
2025-01-08	19500	32	
2025-01-09	19500	32	
2025-01-10	21000	40	
2025-01-11	21000	40	
2025-01-12	21000	40	
2025-01-13	21000	40	
2025-01-14	21000	40	
2025-01-15	22500	48	
2025-01-16	22500	48	
2025-01-17	22500	48	
2025-01-18	22500	48	
2025-01-19	22500	48	
2025-01-20	24000	55	
2025-01-21	24000	55	
2025-01-22	24000	55	
2025-01-23	24000	55	
2025-01-24	24000	55	
2025-01-25	25500	62	
2025-01-26	25500	62	
2025-01-27	25500	62	
2025-01-28	25500	62	
2025-01-29	25500	62	
2025-01-30	25500	62	
2025-01-31	27000	70	1月末
