地域	値	店舗数	人口
関東	17327	25	541
東北	21588	19	1784
中部	22381	27	1101
中部	12387	7	1190
関東	28670	15	1616
東北	19934	12	1349
九州	22361	26	1592
関東	14761	23	976
関西	25920	5	1628
東北	18200	21	963
東北	28931	29	472
東北	28434	11	589
関西	19057	6	1788
九州	24491	8	1845
中部	28327	26	1106
関西	12059	26	1100
関東	30988	15	767
関東	26439	22	677
関東	26632	15	1909
関西	17761	17	627
東北	26526	16	1670
東北	18670	18	721
関東	30973	20	410
中部	26846	23	867
九州	12718	16	1021
九州	20916	9	1773
九州	31079	22	772
関東	13105	7	687
関西	26391	27	843
九州	12228	18	484
関東	25117	28	1484
東北	21544	27	535
中部	29540	26	518
関東	23154	6	809
中部	15840	24	965
関西	14919	16	1885
九州	15128	9	1729
関東	25136	27	1508
関西	27381	27	1511
中部	20317	22	1398
関東	19287	21	1437
関西	15488	23	750
関東	14055	28	1028
関東	15805	25	1952
関東	21520	10	1927
九州	22706	16	1008
関西	28730	26	942
東北	20646	12	1024
九州	19701	5	403
九州	18463	17	1077
関西	31783	6	867
関西	27512	22	1060
中部	29567	21	762
関西	27698	14	560
中部	26332	20	730
九州	28174	21	1341
東北	22940	19	622
中部	13866	27	955
関西	27977	11	1708
九州	27149	9	1004
関西	25610	26	808
九州	22193	19	417
中部	12222	16	1176
九州	23476	23	1027
関西	25459	16	1488
中部	12711	27	1802
東北	28139	19	1993
九州	31082	16	675
東北	20469	20	1975
東北	31789	22	1068
九州	27216	27	1321
東北	21982	10	924
中部	14323	7	524
中部	24989	12	1266
中部	14554	22	556
関西	16604	20	1992
中部	26975	23	1530
関西	16686	27	447
関西	28093	8	733
中部	27628	28	1732
東北	19614	14	1712
関東	31780	29	1725
東北	12724	11	1307
東北	14821	17	1381
中部	21294	12	1297
関西	23832	13	1437
関西	26376	12	1806
九州	16741	18	1097
関東	31366	13	707
中部	13036	23	1596
中部	29516	7	1582
関東	15917	27	1740
東北	30000	28	1847
九州	13195	29	742
関東	26713	26	1062
九州	19923	28	647
東北	19654	8	1923
関西	14560	8	668
関東	26377	16	1354
中部	24558	12	1596
関西	26909	12	876
関東	16143	10	1116
中部	12648	16	1300
九州	27957	19	911
九州	26038	20	843
東北	21388	23	993
関西	30390	22	637
九州	26040	15	1776
関東	31117	26	1062
中部	19779	6	686
関西	25830	5	409
関東	21561	19	1382
東北	26082	25	464
九州	19930	19	1576
東北	14771	25	946
中部	13639	26	1342
九州	16347	7	1978
